ID,Parameter_ID,Value,Segments,SegmentStructure,ConVoStructure
lit-200_grandmother-1,200_grandmother,senelė,s ɛ n ɛ lˠ eː,S V R V R V,C V C V C V
lit-201_parents-1,201_parents,tėvai,t eː ʋ ɐɪˑ,T V R V,C V C V
lit-202_father-1,202_father,tėvas,t eː ʋ ɐ s,T V R V S,C V C V C
lit-203_mother-1,203_mother,motina,m oː tʲ ɪ n ɐ,R V T V R V,C V C V C V
lit-204_son-1,204_son,sūnus,s uː n ʊ s,S V R V S,C V C V C
lit-205_daughter-1,205_daughter,duktė,d ʊ k t eː,T V T T V,C V C C V
lit-206_brother-1,206_brother,brolis,b r oː lʲ ɪ s,T R V R V S,C C V C V C
lit-207_sister-1,207_sister,sesuo,s ɛ s uə,S V S V,C V C V
lit-208_uncle-1,208_uncle,dėdė,d eː d eː,T V T V,C V C V
lit-209_aunt-1,209_aunt,teta,t ɛ t ɑ,T V T V,C V C V
lit-210_husband-1,210_husband,vyras,ʋ iː r ɐ s,R V R V S,C V C V C
lit-211_wife-1,211_wife,žmona,ʒ m o n ɑ,S R V R V,C C V C V
lit-212_joy-1,212_joy,džiaugsmas,d ʒʲ ɛʊˑ g s m ɐ s,T S V T S R V S,C C V C C C V C
lit-213_laughter-1,213_laughter,juokas,j uə k ɐ s,R V T V S,C V C V C
lit-214_happiness-1,214_happiness,laimė,lˠ aˑ j ɪ m eː,R V R V R V,C V C V C V
lit-215_grief-1,215_grief,vargas,ʋ ɐ rˑ g ɐ s,R V R T V S,C V C C V C
lit-215_grief-2,215_grief,rūpestis,r uː p ɛ s tʲ ɪ s,R V T V S T V S,C V C V C C V C
lit-216_wish-1,216_wish,troškimas,t r o ʃ kʲ ɪ m ɐ s,T R V S T V R V S,C C V C C V C V C
lit-216_wish-2,216_wish,pageidavimas,p ɐ g ɛɪˑ d a ʋʲ ɪ m ɐ s,T V T V T V R V R V S,C V C V C V C V C V C
lit-217_desire-1,217_desire,noras,n oː r ɐ s,R V R V S,C V C V C
lit-217_desire-2,217_desire,geidulys,g ɛɪˑ d ʊ lˠ iː s,T V T V R V S,C V C V C V C
lit-218_spirit-1,218_spirit,dvasia,d ʋ ɐ sʲ ɛ,T R V S V,C C V C V
lit-219_thought-1,219_thought,mintis,mʲ ɪ n tʲ ɪ s,R V R T V S,C V C C V C
lit-220_memory-1,220_memory,atmintis,ɐ t mʲ ɪ n tʲ ɪ s,V T R V R T V S,V C C V C C V C
lit-221_mind-1,221_mind,protas,p r oː t ɐ s,T R V T V S,C C V C V C
lit-222_meaning-1,222_meaning,prasmė,p r ɐ s m eː,T R V S R V,C C V C C V
lit-223_reason-1,223_reason,priežastis,p r i ə ʒ ɐ s tʲ ɪ s,T R V V S V S T V S,C C V V C V C C V C
lit-224_truth-1,224_truth,tiesa,t i ə s ɑ,T V V S V,C V V C V
lit-224_truth-2,224_truth,teisybė,t ɛɪˑ s iː b eː,T V S V T V,C V C V C V
lit-225_talk-1,225_talk,pokalbis,p oː k ɐ lˠ bʲ ɪ s,T V T V R T V S,C V C V C C V C
lit-226_fairytale-1,226_fairytale,pasaka,p a s ɐ k ɐ,T V S V T V,C V C V C V
lit-227_story-1,227_story,apsakymas,ɐ p s a kʲ iː m ɐ s,V T S V T V R V S,V C C V C V C V C
lit-227_story-2,227_story,pasakojimas,p a s ɐ k o j ɪ m ɐ s,T V S V T V R V R V S,C V C V C V C V C V C
lit-228_message-1,228_message,žinia,ʒʲ ɪ nʲ ɛ,S V R V,C V C V
lit-229_news-1,229_news,naujiena,n ɒʊˑ j i ə n ɐ,R V R V V R V,C V C V V C V
lit-230_name-1,230_name,vardas,ʋ ɐ rˑ d ɐ s,R V R T V S,C V C C V C
lit-231_puzzle-1,231_puzzle,mįslė,mʲ iː s lˠ eː,R V S R V,C V C C V
lit-232_speech-1,232_speech,kalba,k ɐ lˠ b ɑ,T V R T V,C V C C V
lit-233_language-1,233_language,kalba,k ɐ lˠ b ɑ,T V R T V,C V C C V
lit-234_voice-1,234_voice,balsas,b ɐ lˠˑ s ɐ s,T V R S V S,C V C C V C
lit-235_word-1,235_word,žodis,ʒ oː dʲ ɪ s,S V T V S,C V C V C
lit-236_sign-1,236_sign,žymė,ʒʲ iː m eː,S V R V,C V C V
lit-236_sign-2,236_sign,ženklas,ʒ eˑ n k lˠ ɐ s,S V R T R V S,C V C C C V C
lit-237_call-1,237_call,šauksmas,ʃ ɒʊˑ k s m ɐ s,S V T S R V S,C V C C C V C
lit-238_noise-1,238_noise,triukšmas,t rʲ ɪ ʊ k ʃ m ɐ s,T R V V T S R V S,C C V V C C C V C
lit-239_sound-1,239_sound,garsas,g ɐ rˑ s ɐ s,T V R S V S,C V C C V C
lit-240_tone-1,240_tone,tonas,t ò n ɐ s,T V R V S,C V C V C
lit-240_tone-2,240_tone,garsas,g ɐ rˑ s ɐ s,T V R S V S,C V C C V C
lit-241_song-1,241_song,daina,d ɐɪˑ n ɑ,T V R V,C V C V
lit-241_song-2,241_song,giesmė,g i ə s m eː,T V V S R V,C V V C C V
lit-242_calm-1,242_calm,ramybė,r ɐ m iː b eː,R V R V T V,C V C V C V
lit-242_calm-2,242_calm,ramumas,r ɐ m ʊ m ɐ s,R V R V R V S,C V C V C V C
lit-243_people-1,243_people,žmonės,ʒ m oː n eː s,S R V R V S,C C V C V C
